,Date Created,Number of Likes,Tweets
0,2022-10-15 23:57:00+00:00,17,"@sutanmangara KEREN JOKOWI Tangkap penjahat kakap. Kemaren apeng, skrng bandar judi. Cuma dijaman JKW brani spt ini. Bahkan penguasa polisi ala Sambo pun dibongkar. Mantap JKW!"
1,2022-10-15 23:43:46+00:00,0,"Dipikir-pikir pantesan polisi tahun-tahun belakangan ini meresahkan, lha wong propamnya aja Sambo"
2,2022-10-15 23:43:35+00:00,0,"Setelah kasus Sambo yang mayan ribet, banyak mafia2 polisi yg ketangkap, klo di drakor sih ini namanya gengnya udah ancur karna ketuanya dah ilang ketangkep, jadi sama geng polisi yg lain, anggota sambo yg tersisa ditangkepin.. biar pada naik pangkat, gitu gaksi?"
3,2022-10-15 23:40:01+00:00,0,"BUBARKAN

INSTITUSI  KEPOLISIAN

COPOT

KAPOLRI
TIDAK  CAKAP  JADI  KOMANDAN

SELAMATKAN  420 RIBU
PERSONIL  POLISI
YANG  LOYAL , BERDEDIKASI

KEMBALI   KE   T N I
ATAU
GABUNG  DG  KEJAKSAAN

TRAUMA
KEBENGISAN

SATGASSUS
SAMBO

NARKOBA
TEDDY
DODO

PSSI
GAS AIR MATA
IWAN BULE https://t.co/N8I7WhRy8r"
4,2022-10-15 23:27:22+00:00,0,"@msaid_didu Memang kalau jadi polisi baik karir telat jabatan terhambat,CONTOH KHRISNA MUKTI
beda jauh kalau jadi polisi jahat,karir melesat jabatan meningkat.CONTOH SAMBO,YANG KEMAREN TEDDY MINAHASA..NAMUN JANGAN SENANG DULU..JERUJI BESI MENANTI MEREKA,KARENA PANGKAT BUKAN SEGALA GALANYA"
5,2022-10-15 23:27:21+00:00,2,"Kok bisa sama bintang 2 nya❓
Kehormatan Dua Jenderal Polisi Bintang Dua Lenyap Seketika, Irjen Teddy Minahasa Nyabu, Berbisnis dengan Mami Linda, Ferdy Sambo Habisi Nyawa Ajudan https://t.co/wMxAvZiMAX"
6,2022-10-15 23:17:53+00:00,2,"@tvOneNews Kadang kelewat batas, dikasih informasi dan data oleh oknum polisi di kepolisian, umbar umbar ancam rakyat lain, dikasus Bjorka seolah olah dia tahu, dikasus @NajwaShihab seolah olah dia tahu tempat check in. Infonya pasti dari dalam, masih ada Sambo di kepolisian"
7,2022-10-15 23:02:44+00:00,0,"@r_acoeng @OvanAbuRoin @Dennysiregar7 Bong goblok, loe tahu Ferdy Sambo? Dia kadiv propam, polisinya polisi. Ga jamin tuh kalo berintegritas. Apalagi KPU yg anggotanya banyak dibui kasus korupsi. Picek loe ga baca berita!?"
8,2022-10-15 23:01:44+00:00,2,@detikcom Gils ternyata polisi isinya sambo semua
9,2022-10-15 22:56:04+00:00,0,"Polisi itu memang melayani mafia, bukan melayani rakyat. Melindungi yg punya uang.

Lihat saja Ferdy Sambo Laknatullah ngelindungi judi online

Teddy Minahasa ngelindungi kartel narkoba, malah jualan juga 

Blm geng polisi tambang, perkebunan, tilang, ekspedisi, dll 🤦🤦"
10,2022-10-15 22:47:15+00:00,0,"@Dennysiregar7 Haduh polisi lagi yg ditonjolkan. Polisi dah nyungsep nih. Kasus Sambo, apa kabar. Kasus Kanjuruhan, apa kabar. Kasus Teddy, apa kabar. Dan kasus polisi yg nyabu, pungli, bunuh, pemerkosa, judi dll, apa kabar. Ya saatnya polisi sadar diri."
11,2022-10-15 22:31:10+00:00,0,@gloriouslydumb @srl789 Polisi konoha ada yg namanya Uchiha Sambo ga Fi?
12,2022-10-15 18:36:09+00:00,0,"@CNNIndonesia Ya kalo sy jauh sblm kasus sambo. semenjak motor ilang di gubernuran trus lapor polisi endingnya kalo mau ktemu suru bayar 7 juta dulu dimuka nah abis itu uda nga ada percaya percayanya ama polisi.
Ye belum pernah kan abis ngasi duit tilang terus bapanya jajan sate pake duit itu"
13,2022-10-15 18:32:25+00:00,0,"@fajridifar @Dandhy_Laksono Betul bang, sangat meragukan kalo cuma segitu hartanya, kayaknya itu harta yg terdeteksi saja, yg nggak kelihatan bisa lebih, kayak Sambo dan polisi yg dulu berdinas di Papua yg punya 1 T"
14,2022-10-15 18:28:42+00:00,4,"@satriabuha @HeartJewel4 @mazilla15980348 @PineksoRoyi1 @VIVAcoid udah terlatih sabar bertaun2 menghadapi banyak yg masih percaya jessica bersalah tanpa tahu fakta2 yg terungkap di persidangan

tapi terlepas jessica sudah divonis bersalah, ya itu keterangan dokter joshua kan fakta, apalagi orangnya sudah diperiksa polisi"
15,2022-10-15 17:22:41+00:00,0,"@Khalidchukuchuk Mazembe wajanjaaaa
Wanajua  hawawezi kupambana na vigogo wa Ligi ya mabingwa
Wanakimbilia polisi mapemaaaaa
Sisi tunawang'ang'ania wababe"
16,2022-10-15 17:19:18+00:00,0,@CNNIndonesia Pd mulai bakar rumah.. ayo lah.  Sudah cukup..bersatu lg polisi.. geng sambo n non sambo sudah..kasihan rakyat mw dikemanain klo polri hilang wibawa..
17,2022-10-15 17:15:03+00:00,1,"Sambo effect...

Pak @ListyoSigitP tolong polisi yang menjual dan konsumsi narkoba DIPECAT saja. https://t.co/5Kq7ijinmm"
18,2022-10-15 17:06:56+00:00,0,"@CNNIndonesia justru kasus sambo itu bikin
rakyat percaya lagi polisi
percakapannya nyaris satu suara dukung kapolri @ListyoSigitP
itu makanya pas kanjuruhan hampir minim masyarakat menyalahkan polisi(keseluruhan)
hanya onkum yg di lapangan saja
hati-hati jebakan
lanjutkan pak. rakyat tau kok"
19,2022-10-15 16:54:51+00:00,0,@restyca_yah Era Polisi ganteng. Kok wkt Sambo ga terekspose ya lebih Krisna da Iqbal
20,2022-10-15 16:39:36+00:00,0,"@DivHumas_Polri Klo yg jahat itu cm satu orang, bolehlah sebut oknum. Klo yg diperiksa kasus Sambo nyaris 100, yg mafia Narkoba dah buanyaaaaakk, itu namanya Kelompok Polisi...🤣🤣🤣"
21,2022-10-15 16:29:17+00:00,0,"@ListyoSigitP Kalau mau jadi kaya jangan jadi polisi, tapi jadilah Teddy."
22,2022-10-15 16:03:05+00:00,0,"@cobeh2021 Sambo Teddy Irjen palsu..koq bisa2 nya yg pilih kapolri...lucu..saking sng tmn2nya digundul..skrg ndlosor..kabeh..🤣
Pikirèn dewe...koq nama bisa ke kapolri ?angkatan Sambo 99 bkn akpol..bli seragam didikan mulyosari Cina medan utk Kadet polisi pesaing Akpol..
Heran dech..."
23,2022-10-15 15:57:23+00:00,0,@VIVAcoid Salah satu idola jg nih. Semoga tetap jd polisi yg baik ya pak. Dan gak melakukan hal bodoh kayak sambo atau kapolda jatim
24,2022-10-15 15:33:09+00:00,0,"@Ai_ni6 Sebaliknya, oknum polisi di Mabes dan Polda bisa intervensi kasus-kasus yg ditangani Polres. Makanya saat kasus 303 Sambo mencuat. Bandar yg tertangkap, kemudian mengatakan sandi ""konsorsium"", polisi wilayah tidak berani memroses."
25,2022-10-15 15:28:53+00:00,0,"Polisi indo lg banyak bgt masalah sie pusing. Masalah sambo, gas air mata, narkoba, mobil sirine"
26,2022-10-15 15:28:20+00:00,0,"but im still curious that hartanya doi tembus Rp 29 M, mestinya lebih inimah, yakali polisi terkaya tapi aset yg didata cmn segitu doang hhhh https://t.co/OFoWGdZoaK"
27,2022-10-15 15:27:05+00:00,2,"@RadenKianSayang Pak Kapolri kalau mau dpt hatinya rakyat supaya cinta lagi dg polisi setelah sambo, Kanjuruhan dan Teddy dll yg msh banyak lakukan transparansi mulai penyidikan bandar judi perusak bangsa ini sampai persidangan jgn diem² seperti selama ini kasus bandar kakap selalu senyap."
28,2022-10-15 15:09:03+00:00,0,"@ahmsafaat Ngene iki garai penyintas KDRT disepelekan, nek onok sing lapor ng polisi isok2 dianggap ""halah palingan dicabut dan berdamai"". 
Ws kasuse mengalahkan kasuse Sambo sampai dadi perhatian satu Indonesia"
29,2022-10-15 15:09:02+00:00,0,@M45Broo_ Makin banyak kasus tntg oknum polisi mnjelang prsidangan sambo
30,2022-10-15 15:06:21+00:00,0,@CNNIndonesia Pak Kapolri @ListyoSigitP ada baiknya membentuk tim khusus yg mengawasi gaya hidup para anggota polisi dan keluarga nya.kalau hidup nya terlampau wah dan mewah seperti Sambo harus diterjunkan intelijen kekayaan nya didapat dari mana.
31,2022-10-15 14:45:56+00:00,12,"Gue masih ngakak tp bukan karna Nino diintrogasi. Gara2 bapak gue nyeletuk ""lah akhirnya polisinya ganti dan pinter. Yg dulu mungkin ikut Sambo ya, soalnya kerjanya GK bener"" 🤣🤣🤣 polisi IC yg dulu anak buah Sambo ya pak ya ampun aku ngakak #IkatanCintaEp913"
32,2022-10-15 14:38:02+00:00,0,@kompascom coba cek jauh kebelakang pak. masalah kepercayaan publik yg menyusut terhadap polisi sdh muncul jauh sebelum kasus Ferdy Sambo. hestek #percumalaporpolisi #janganlaporpolisi jg sdh ada sebelum kasus Sambo.
33,2022-10-15 14:35:42+00:00,10,"Sejak kasus sambo, toko ini tutup beberapa hari,sekarang buka lagi seperti biasa....tapi mau kemana lagi mengadu masyarakat??  BOHONG KALO ADA POLISI GAK TAU JUAL APA TOKO INI...(nanti klo masyarakat ngadu malah dikriminalisasi) @ListyoSigitP https://t.co/Awjcn9Ux7w"
34,2022-10-15 14:33:29+00:00,0,"@detikcom mungkin jauh sebelum kasus Ferdy Sambo citra Polisi memang udh rendah. dan hesteg #percumalaporpolisi #janganlaporpolisi jg udh ada sebelum kasus Sambo, pak."
35,2022-10-15 14:17:37+00:00,79,"Kehormatan Dua Jenderal Polisi Bintang Dua Lenyap Seketika, Irjen Teddy Minahasa Nyabu, Berbisnis dengan Mami Linda, Ferdy Sambo Habisi Nyawa Ajudan https://t.co/AE4WZiP9Cu"
36,2022-10-15 14:09:20+00:00,1,Kenapa ribet soal bersih2 di Kepolisian kan petunjuk awalnya ada pada sambo ? Buka saja buku hitamnya ..lumayan bisa membersihkan sekian persen pol isi rp ( polisi kotor ) selanjutnya bersihkan total .. Beranikah pak @Kapolri ?
37,2022-10-15 14:02:14+00:00,1,"*POLISI LANGKA* ‼️
😱

https://t.co/XDzoQNy66S

WALAU HANYA DIHITUNG OLEH JEMARI ,, TERNYATA MASIH ADA POLISI YANG TIDAK TERSAMBO-SAMBO ‼️
🤣🤣"
38,2022-10-15 13:57:08+00:00,0,"@bachrum_achmadi @Tan_Mar3M Hahahahaha...densi masih terkaget-kaget dgn seluruh pimpinan polisi dipanggil presiden. Dan takut ada lakon baru, setelah Sambo dan Teddy."
39,2022-10-15 13:56:48+00:00,0,"Pak Kapolri itu sebenarnya tau siapa-siapa oknum polisi yang jadi beking bandar judi kaitan Sambo N konsorsium 303,N juga siapa big boss nya.Kan ana pernah bilang,ana N team mau kok menggantikan Kapolri untuk sementara,kalau institusi POLRI sudah bersih ana kembalikan lagi😆✊ https://t.co/H5A3EkCcb0"
40,2022-10-15 13:49:01+00:00,12,"Nah seharusnya POLISI yang s seperti ini DIPERBANYAK bung @ListyoSigitP , bukan seperti SAMBO dan TEDI!
.
.
*Pertanyaannya adalah ; Masih berapa banyak SAMBO2 dan TEDI disana?
.
.
Salam Presisi! https://t.co/wGlRi0Tffh https://t.co/IpAUggpZ3b"
41,2022-10-15 13:42:27+00:00,8,"@KompasTV Polisi yg coret2  tsb, adalah Polisi yg sebenarnya,,,  
Oon juga deh yg bilang Gangguan Jiwa.
Polisi yg gangguan jiwa tuh polisi yg melakukan pembunuhan di kanjuruhan, polisi bandar narkoba, polisi pungli, polisi beking judi, polisi sita KTA , polisi genk sambo..."
42,2022-10-15 13:26:53+00:00,0,"@e100ss Dari dulu masyarakat itu mana prnh yg percaya dg polisi?, walau blm ada kasus sambo."
43,2022-10-15 13:23:20+00:00,3,"Semenjak kasus sambo, tiap hari polisi muncul terus di headline berita.

Entah narkoba, pembunuhan, selingkuh, Pungli, kekerasan.

Mungkin ini cara tuhan mengembalikan spirit jemdral hoegeng🤔"
44,2022-10-15 13:17:50+00:00,0,"Proses hukum sambo bagaimana???
Semoga kapolri di beri keberanian memberantas polisi yang tidak baik di instansi polisi. https://t.co/l3tlEAJShE"
45,2022-10-15 13:10:45+00:00,2,"@CNNIndonesia Halahhhhh ntr lama lama bisa k baca juga kasus ini larinya kmn. Semenjak kasus Sambo,kasihan juga nama polisi tercoreng,tapii ga nyangka aja kok d dlm kepolisian jadinya kyk gini ya"
46,2022-10-15 12:44:25+00:00,3,@msaid_didu Rival nya sambo dia di karir kepolisian. Polisi rasa artis hehehe
47,2022-10-15 12:41:58+00:00,1,"@CNNIndonesia Tanpa kasus Sambo pun sebenarnya kepercayaan masyarakat ke polisi sudah buruk, mau gimana lagi orang bikin surat kehilangan saja disuruh ""gak ada ongkos ketik nih 😏?""
Yg nilang di pinggir jalan aja nawarin ""enaknya gimana njh? Mau urusan panjang apa pendek 😊?"""
48,2022-10-15 12:40:33+00:00,0,Presiden Jokowi: Tingkat Kepercayaan Pada Polisi Ambrol Gara – gara Kasus Fredy Sambo https://t.co/VYImHt79Ry
49,2022-10-15 12:36:27+00:00,0,"menjadi sasaran, tapi Alhamdulillah, para penggiat LPSK tidak mau menerimanya, bahkan dilaporkan bahwa ada upaya penyuapan. Nampaknya, Fredy Sambo, mantan oknum polisi ini telah terbiasa melakukan hal sedemikian rupa itu (suap-menyuap/pungli), di lingkungan institusi tempat ia.."
50,2022-10-15 12:22:57+00:00,9,@CNNIndonesia Aset dan rekening nya bekukan.. Biar gak punya nyali buat lawan hukum.. Seperti sambo. Uang nya masih cair.rekening nyaasih aman.. Berani lawan hukum. Coba di pikir sama para Jaksa dan polisi yg masih bersih  bekukan rekening sambo dan teddy biar pada manyun
51,2022-10-15 11:59:28+00:00,0,"Presiden Jokowi menyebut bahwa kepercayaan masyarakat terhadap Polri turun drastis setelah munculnya kasus Ferdy Sambo.
#JatimNow #presidenjokowi #Polri #polisi https://t.co/ofoJ00fBSD"
52,2022-10-15 11:56:10+00:00,1,@hipohan TV ONE SDH MULAI BANGKRUT CARI DUIT KE CUKONG2 KELOMPOK GENK POLISI RADIKALISME SESUNGGUHNYA ( KANJURUHAN SAMBO DLL ) CUKONG PRO ISLMOPHOBIA
53,2022-10-15 11:53:35+00:00,0,@ListyoSigitP Pak Kapolri... akhirnya ada contoh figur polisi yg hrs menjadi catatan seorang polisi kapan dan dimana. Figur pertama adalah jendral Hoegeng. Jendral polisi idealis yg hrs jadi panutan setiap polisi. Gambaran polisi baik. Kedua jendral Sambo dan Jendra Tedy gambaran polisi jahat.
54,2022-10-15 11:35:14+00:00,0,"@andriano_stevan @cucunabiadam92 @berita_diy @Puspen_TNI @tni_ad @_TNIAU @_TNIAL_ Lu tag gituan ga ngaruhh cil mau tag Jokowi atau Soekarno sekalipun 😂,orang gua ngomong fakta kalau oknum nya lebih bejad,nohh kasus mutilasi di papua 11,12 Ama kasus sambo,nohh jual amunisi ke opm lebih bangsat daripada polisi buncit di jalanan"
55,2022-10-15 11:32:26+00:00,0,"@bikhaspurna @mbaupeh menyerang aparat itu jelas clear tindakan pidana, tapi aparat menyerang orang teriak ""sambo"" itu gag ada dasar hukum yang membenarkannya,,,dana 100T dikasih ke polisi itu bukan duit yang sedikit supaya jadi profesional dalam bertindak,"
56,2022-10-15 11:30:14+00:00,2,"Mesinnya polisi terasa sekali fokus pada urusan Sambo. Kampanye media untuk lokalisasi kamera, narasinya menutup kasus dengan melimpahkan ke Pengadilan. 

Kasus Teddy Minahasa ini gak disiapkan kamera khusus?"
57,2022-10-15 11:06:02+00:00,2,"@ListyoSigitP Perbaiki juga institusi polri pak!! Saya udah bosan dengar berita polisi busuk!!! Kemarin si bangsat Sambo, sekarang jancuk Teddy bear!!"
58,2022-10-15 11:05:23+00:00,3,"Orang pada bicara soal momentum perubahan Polisi waktu Ferdi Sambo. 

Bukan berikut ada Kanjuruhan. Berikutnya ada Teddy Minahasa. 

Momentumnya tegas terasa."
59,2022-10-15 11:03:16+00:00,0,@fotodakwah SAMBO Polisi KRiSTEN MAFiA Narkoba Bangsat Keparat
60,2022-10-15 11:00:42+00:00,0,Jokowi: Ferdy Sambo Bikin Kepercayaan Masyarakat Pada Polisi Runyam https://t.co/9yviFJSNbN
61,2022-10-15 10:58:43+00:00,0,"@fahryadhi_s Beredar beberapa isu:
- Kamar isi mayat polisi
- Tragedi kanjuruhan settingan untuk pengalihan isu
- Jadi bekingan judi online &amp; narkoba

Sebesar itu powernya Sambo"
62,2022-10-15 10:52:40+00:00,0,"@MurtadhoRoy Polisi yg punya kutil di wajah knpa jahat2 mulai dari Randy,Ferdi Sambo,Teddy😵‍💫"
63,2022-10-15 10:50:59+00:00,0,"KAPOLDA JATIM.
Ya Allah.
Aparat kita ternyata ...
Teruskan.
Bersihkan institusi Polisi dari perbuatan perbuatan tidak terpuji seperti KAPOLDA JATIM DAN SAMBO. https://t.co/h0WG3Cd2iR"
64,2022-10-15 10:48:02+00:00,0,@opposite6892 Polisi #SAMBO penghianat NKRI harus dibersihkan dari Republik ini
65,2022-10-15 10:41:53+00:00,0,Polisi yg pulang dari istana lgsg gathering seraya sebat sambil mbatin ‘oalah mbo sambo’
66,2022-10-15 10:03:53+00:00,0,"Polisi. 
Liat aja sambo. https://t.co/oe1XLRmyQ7"
67,2022-10-15 10:00:55+00:00,0,"@kompascom Melacak balik jauh kebelakang Sebelum sambo, emang udah turun rasa percaya ke polisi,sebut saja oknum;yg melakukan perbuatan tercela bahkan melanggar hukum, jauh dr kata mengayomi dan melayani!! 
Bisa diliat di hestek #percumalaporpolisi dan banyak lagi tuh, coba cek pak @jokowi"
68,2022-10-15 09:44:38+00:00,1,"@Alivia78274464 @democrazymedia Bubarkan dulu satu generasi jiwa biadab Sambo ini, baru bisa lurus lagi polisi ini."
69,2022-10-15 09:44:25+00:00,4,Nah...gua suka polisi begini https://t.co/2T9Lv0gdUs
70,2022-10-15 09:42:50+00:00,0,"Gak gitu juga pak @jokowi 
Coba pak jkw cek hesteg yg ramai tentang kemuakan publik terhadap polisi seperti #janganlaporpolisi #percumalaporpolisi dll itu sudah ramai sebulum kasus sambo mencuat ke permukaan https://t.co/Xi3IzDK81q"
71,2022-10-15 09:37:53+00:00,3,"@mendzolimi @himawansugeha95 @txtdrberseragam Iya pak, jangan korupsi, jangan jadi kaya sambo dan jangan sampe jual narkoba ber kilo kilo pak, kita udah krisis kepercayaan sama polisi, tetap merendah untuk meroket pak!"
72,2022-10-15 09:36:01+00:00,0,"Kalau anda sdh mengikuti polisi, sy berharap bertoleransi ikut menjaga integritas sebab yg salah Sambo dan kelompok yg pro sambo itulah strategi ulung Srikandi dlm pewayangan sebab masih banyak polisi yg bijak jangan mengikuti arus Gusdur hanya 3  polisi yg jujur opini itu salah."
73,2022-10-15 09:23:16+00:00,1,"Dari bagan ini kita akan lihat polisi saling sikat, saling nangkap, saling penjara. Geng sambo pasti melawan gegara sendirian menghadapi kasus nya.

Nantikan cerita lanjutan😊 https://t.co/uhwkxTXS5r"
74,2022-10-15 09:19:23+00:00,0,@CNNIndonesia Pantas saja Sambo gk kelar2 ternyata bner kata orang byk pengang semua kartu polisi.....
75,2022-10-15 09:16:54+00:00,0,"@democrazymedia Hahaha..mana polisi mau keluar uang sendiri..apalagi 20M..
Ini skrg sedang terjadi perang kubu Sambo utk mendongkel Kapolri..namun korban polisi yg nakal akan berjatuhan"
76,2022-10-15 09:06:48+00:00,0,"KEMBALI  KE  TNI

  INSTITUSI  KEPOLISIAN

SELAMATKAN  420  RIBU  PERSONIL  POLISI
YANG
LOYAL , AMANAH , BERDEDIKASI

COPOT

KAPOLRI JEND L.SIGIT  PRABOWO
TIDAK  CAKAP  JADI  KOMANDAN
BLUNDER
GADUH

TRAUMA

SATGASSUS
SAMBO
JUDI  ONLINE

NARKOBA
TEDDY
DODI

GAS AIR MATA  PSSI https://t.co/T2OtwA5984"
77,2022-10-15 08:59:28+00:00,0,"BUBARKAN  INSTITUSI  KEPOLISIAN

GABUNG  DENGAN  TNI

SELAMATKAN  420 RIBU
PERSONIL  POLISI YG LOYAL , AMANAH , BERDEDIKASI

COPOT  

KAPOLRI  JEND L.SIGIT PRABOWO
TIDAK  CAKAP JADI KOMANDAN

TRAUMA

SATGASSUS
SAMBO

GAS AIR MATA  PSSI

NARKOBA
TEDDY MINAHASA
DODI

JUDI  ONLINE https://t.co/rKmhW6vLIH"
78,2022-10-15 08:50:13+00:00,0,"@whayya @mbaupeh Kalau nggruduk polisi sambil teriak Sambo Sambo Sambo Sambo dgn ribuan org yg kalap gitu, masa nyerah dah pukul semau mu, yea habis aparat, makanya hidup jgn terprovokasi, sikap beringas itu sikap binatang buang jauh jauh!!!!!!!!"
79,2022-10-15 08:49:09+00:00,1,LITSUS SEMUA PAK…! Jokowi Nilai Kasus Sambo Buat Kepercayaan Publik ke Polisi Runyam https://t.co/elkelIHK9d
80,2022-10-15 08:46:34+00:00,3,"Dalam paparannya, Jokowi menyinggung soal Ferdy Sambo hingga gaya hidup polisi. Berikut arahan lengkapnya. #kumparanNEWS https://t.co/PwF1eE6ylg"
81,2022-10-15 08:27:35+00:00,0,"Jokowi: Kasus Ferdy Sambo Hancurkan Kepercayaan Publik ke Polisi

https://t.co/VTgXlCCxfQ https://t.co/bLAgD7gXBj"
82,2022-10-15 08:23:50+00:00,5,"Kasus pembunuhan Brigadir Joshua memasuki babak baru. Saksikan dalam live streaming di laman MNC Portal (Okezone, Sindonews, https://t.co/dIm5d5EeW8), Senin, 17 Oktober 2022 pukul 08.00 WIB

#brigadirj #ferdysambo #putricandrawathi  #polisi https://t.co/U2QotOgWKm"
83,2022-10-15 08:15:27+00:00,1,"@Praszetyawan Polisi indonesia nggak ada yangseperti jendral hogeng. Adanya sambo... Sambo.. 
😁😁😁😁"
84,2022-10-15 07:59:01+00:00,0,@jokowi Hukum mati Sambo dan Teddy pak biar jadi pelajaran Polisi yang lainnya biar gag banyak gaya hidup mewah di tengah masyarakat hidup susah
85,2022-10-15 07:54:43+00:00,0,"@ini7indonesia @KompasTV Moga aja anak lu dan turunannya ntah skarang ato kelak bakalan didoain yg jelek2 mengalami penderitaan yg  jauh lbh parah.

Buat lu nih,anaknya polisi ga ada hubungannya ama kanjuruhan,klo lu ga terima anak lu gua bawa2 ya lu jgn bawa2 anak polisi yg ga ada hubungannya."
86,2022-10-15 07:49:05+00:00,0,"Ngejual narkoba sitaan/barang bukti udah jadi rahasia umum di sirkel polisi dari dulu (hastag ytta)

Thanks to Ferdy Sambo, sekarang ""rahasiaumum"" tadi lebih gampang buat ditelanjangin ke publik &amp; ga lagi ditelen sebagai hal yg wajar, tapi bukti rusak nya institusi polisi indo. https://t.co/pFhX33bHiF"
87,2022-10-15 07:39:31+00:00,0,"Sambo + kanjuruhan + kapolda jatim (jenderal) jual sabu
*Belom lagi polisi muda yg jilatin kue HUT TNI, sawah orang tuanya pun belom balik modal itu 👀

Pertanyaannya, ‘kok bisaaaaaaaa?’"
88,2022-10-15 07:37:43+00:00,2,"@CNNIndonesia Perasaan sblum kasus sambo kepercayaan publik ke polisi udh runyem, kemarin marin kebanyakan oknum pak, oknumnya kluh di kumpulin bisa buat kota sndiri"
