,Date Created,Number of Likes,Tweets
0,2022-10-15 23:00:00+00:00,0,"Sama mas, saya pikir fokusnya sama bobroknya kepolisian, malah fokusnya sama 1 orang polisi yang hedon. Pantes singanu fokusnya sama tangga dan pintu tragedi kanjuruhan, bukan sama tembakan gas air mata https://t.co/Pd50niVBSn"
1,2022-10-15 22:47:15+00:00,0,"@Dennysiregar7 Haduh polisi lagi yg ditonjolkan. Polisi dah nyungsep nih. Kasus Sambo, apa kabar. Kasus Kanjuruhan, apa kabar. Kasus Teddy, apa kabar. Dan kasus polisi yg nyabu, pungli, bunuh, pemerkosa, judi dll, apa kabar. Ya saatnya polisi sadar diri."
2,2022-10-15 22:25:33+00:00,0,"Membuat konsorsium judi, menjadi sindikat narkoba, kekekerasan di Kanjuruhan yang menewaskan lebih dari 100 korban jiwa.

Siapakah ""Polisi"" sebenarnya? Tempat warga berlindung dari kejahatan?

Apakah benar kita sedang hidup di Indonesia?

https://t.co/X3lsPeqZvR"
3,2022-10-15 22:03:27+00:00,0,"@jalanlurus05 @Tan_Mar3M Yg gak punya wibawa ya Jokowi dan mempora. Mau nyelesaikan kasus Kanjuruhan aja gak bisa tuntas. Alias setengah2. Ya hasilnya tau sendiri. Pimpinan polisi aja dipanggil ke istana, apa mereka akan nurut apa kata Jokowi. Saya kok gak yakin. Apaa pemerintahan ini msh punya wibawa"
4,2022-10-15 20:10:43+00:00,0,"Ditambah lg dgn tembakan gas air mata k tribun penonton stadion Kanjuruhan, plus jilat kue TNI, seorang irjen tersangka ngedarin narkoba, anggota polisi yg terkuak berkerjasama buat rampok motor warga, daaan seterusnya. Aduhlah, heran banget, ini beneran polisi apa preman negara?"
5,2022-10-15 19:53:45+00:00,0,"Polisi saja pun mmg ada yg sakit jiwa.. 
Baik nya semua polisi dan juga pengurus PSSI agar di PERIKSA KEJIWAAN nya oleh Psikolog atas ""pembunuhan"" penonton di kanjuruhan dan kok tdk ada yg peduli akan nasip mrk yg meninggal, luka2 bhkan sampai skrg byk yg menunggu ajal krn sakit https://t.co/VolYoJlyKy"
6,2022-10-15 19:25:40+00:00,0,Polisi Akui Gunanakan Gas Air Mata Kedaluwarsa di Stadion Kanjuruhan https://t.co/sYAinAsqWV
7,2022-10-15 18:33:27+00:00,0,KontraS Dalami Dugaan Intimidasi kepada Keluarga Korban Tragedi Kanjuruhan oleh Polisi https://t.co/QWGGSbOIv0
8,2022-10-15 17:31:02+00:00,3,@OkaSaptono2 @LaNyallaMM1 @mohmahfudmd @DivHumas_Polri #polisi #Kanjuruhan  #bola #maaf #lanyalla https://t.co/UwmwpEHQrl
9,2022-10-15 17:06:56+00:00,0,"@CNNIndonesia justru kasus sambo itu bikin
rakyat percaya lagi polisi
percakapannya nyaris satu suara dukung kapolri @ListyoSigitP
itu makanya pas kanjuruhan hampir minim masyarakat menyalahkan polisi(keseluruhan)
hanya onkum yg di lapangan saja
hati-hati jebakan
lanjutkan pak. rakyat tau kok"
10,2022-10-15 16:28:04+00:00,1,"Yaampun maaf aja nih orang jatim emang ga bisa belajar dikit dari tragedi Kanjuruhan? Emang polisi salah di Kanjuruhan, yang ini gak ada apa2 lu pada nyerang polisi. Enjoy music ya enjoy aja ga usah rusuh bisa kan! https://t.co/i8L0PHIjW1"
11,2022-10-15 16:13:46+00:00,0,"Kasus Bjorka, kasus Kanjuruhan, kasus KM 50, dan beberapa kasus lainnya, menunjukkan bahwa polisi lebih banyak bermain : mengingkari bukti, menghilangkan barang bukti dan merekayasa barang bukti.."
12,2022-10-15 15:44:17+00:00,1,"@CRV87SD Kejadian di kanjuruhan itu saling berkaitan, kalo emang usut tuntas ya usut juga kejadian pembakaran, perusakan mobil polisi dan penyerangan terhadap mobil rantis. Ojok macak paling tersakiti ae"
