,Tweets
0, keren jokowi tangkap penjahat kakap kemaren apeng skrng bandar judi cuma dijaman jkw brani spt ini bahkan penguasa polisi ala sambo pun dibongkar mantap jkw
1,dipikirpikir pantesan polisi tahuntahun belakangan ini meresahkan lha wong propamnya aja sambo
2,setelah kasus sambo yang mayan ribet banyak  polisi yg ketangkap klo di drakor sih ini namanya gengnya udah ancur karna ketuanya dah ilang ketangkep jadi sama geng polisi yg lain anggota sambo yg tersisa ditangkepin biar pada naik pangkat gitu gaksi
3,bubarkan  institusi  kepolisian  copot  kapolri tidak  cakap  jadi  komandan  selamatkan   ribu personil  polisi yang  loyal  berdedikasi  kembali   ke   t n i atau gabung  dg  kejaksaan  trauma kebengisan  satgassus sambo  narkoba teddy dodo  pssi gas air mata iwan bule 
4, memang kalau jadi polisi baik karir telat jabatan terhambatcontoh khrisna mukti beda jauh kalau jadi polisi jahatkarir melesat jabatan meningkatcontoh samboyang kemaren teddy minahasanamun jangan senang dulujeruji besi menanti merekakarena pangkat bukan segala galanya
5,kok bisa sama bintang  nya❓ kehormatan dua jenderal polisi bintang dua lenyap seketika irjen teddy minahasa nyabu berbisnis dengan mami linda ferdy sambo habisi nyawa ajudan 
6, kadang kelewat batas dikasih informasi dan data oleh oknum polisi di kepolisian umbar umbar ancam rakyat lain dikasus bjorka seolah olah dia tahu dikasus  seolah olah dia tahu tempat check in infonya pasti dari dalam masih ada sambo di kepolisian
7,   bong goblok loe tahu ferdy sambo dia kadiv propam polisinya polisi ga jamin tuh kalo berintegritas apalagi kpu yg anggotanya banyak dibui kasus korupsi picek loe ga baca berita
8, gils ternyata polisi isinya sambo semua
9,polisi itu memang melayani mafia bukan melayani rakyat melindungi yg punya uang  lihat saja ferdy sambo laknatullah ngelindungi judi online  teddy minahasa ngelindungi kartel narkoba malah jualan juga   blm geng polisi tambang perkebunan tilang ekspedisi dll 🤦🤦
10, haduh polisi lagi yg ditonjolkan polisi dah nyungsep nih kasus sambo apa kabar kasus kanjuruhan apa kabar kasus teddy apa kabar dan kasus polisi yg nyabu pungli bunuh pemerkosa judi dll apa kabar ya saatnya polisi sadar diri
11,  polisi konoha ada yg namanya uchiha sambo ga fi
12, ya kalo sy jauh sblm kasus sambo semenjak motor ilang di gubernuran trus lapor polisi endingnya kalo mau ktemu suru bayar  juta dulu dimuka nah abis itu uda nga ada percaya percayanya ama polisi ye belum pernah kan abis ngasi duit tilang terus bapanya jajan sate pake duit itu
13,  betul bang sangat meragukan kalo cuma segitu hartanya kayaknya itu harta yg terdeteksi saja yg nggak kelihatan bisa lebih kayak sambo dan polisi yg dulu berdinas di papua yg punya  t
14,     udah terlatih sabar  menghadapi banyak yg masih percaya jessica bersalah tanpa tahu  yg terungkap di persidangan  tapi terlepas jessica sudah divonis bersalah ya itu keterangan dokter joshua kan fakta apalagi orangnya sudah diperiksa polisi
15, mazembe wajanjaaaa wanajua  hawawezi kupambana na vigogo wa ligi ya mabingwa wanakimbilia polisi mapemaaaaa sisi tunawangangania wababe
16, pd mulai bakar rumah ayo lah  sudah cukupbersatu lg polisi geng sambo n non sambo sudahkasihan rakyat mw dikemanain klo polri hilang wibawa
17,sambo effect  pak  tolong polisi yang menjual dan konsumsi narkoba dipecat saja 
18, justru kasus sambo itu bikin rakyat percaya lagi polisi percakapannya nyaris satu suara dukung kapolri  itu makanya pas kanjuruhan hampir minim masyarakat menyalahkan polisikeseluruhan hanya onkum yg di lapangan saja hatihati jebakan lanjutkan pak rakyat tau kok
19, era polisi ganteng kok wkt sambo ga terekspose ya lebih krisna da iqbal
